gene,log2FoldChange,pvalue,t_statistic,mean_group1,mean_group2,padj,abs_log2FC,significant
PEX12,-0.011413456631434116,0.758109391048613,-0.308056782771749,7.524847234513275,7.536260691144709,0.7848055665792525,0.011413456631434116,False
TMEM158,2.215525077409735,1.1538756331746752e-86,22.041774558537544,7.929555530973451,5.714030453563716,3.941273347378254e-85,2.215525077409735,True
ANGEL2,-0.13298837754926396,7.941026262832396e-06,-4.492523758969969,9.050671017699115,9.183659395248378,1.3502811194901796e-05,0.13298837754926396,False
ANGEL1,0.022332477207134716,0.5456408116501903,0.6045310790668672,9.10858517699115,9.086252699784016,0.5826631505680412,0.022332477207134716,False
PEX16,0.0841412562835675,0.022832285303825608,2.280088282105491,8.91403196902655,8.829890712742982,0.029761756794451876,0.0841412562835675,False
CDC37L1,-0.2545713378504946,1.3783460021120863e-12,-7.1867828299100855,8.076006415929204,8.330577753779698,3.3620421812115017e-12,0.2545713378504946,False
TCIRG1,-0.8772744246831952,1.9710441346571867e-47,-15.341168351433462,10.226603761061945,11.10387818574514,1.9011189974991103e-46,0.8772744246831952,False
AP3B2,2.832427795590513,1.7658806921947403e-75,20.23050336756851,6.075956305309735,3.2435285097192224,4.247970715012407e-74,2.832427795590513,True
TFRC,2.2311727656300757,1.1774701678481787e-126,28.247673061096823,13.548090044247788,11.316917278617712,1.5094720411243583e-124,2.2311727656300757,True
FRAT1,-0.8095386312811792,1.8420516348409497e-43,-14.583571584952296,6.242337610619469,7.051876241900648,1.5424041283052268e-42,0.8095386312811792,False
PCDHB12,0.037949688927541025,0.5866410448748249,0.5439029548681766,5.250155088495576,5.212205399568035,0.6218229297158187,0.037949688927541025,False
NUF2,1.3584810761864707,2.1402522424656055e-55,16.79994013518651,8.771530752212389,7.413049676025918,2.748941608823135e-54,1.3584810761864707,True
UNCX,0.07643338892180661,0.0002841982111471905,3.643426102757867,0.07847809734513274,0.002044708423326134,0.00043507178344693096,0.07643338892180661,False
TGIF2LX,0.4863784738813816,1.234651714050552e-08,5.7474175384206845,0.8032303097345134,0.31685183585313176,2.4787263820095086e-08,0.4863784738813816,False
ZNF518B,0.5039037746803263,1.8801570895736318e-14,7.785422524249394,8.90314524336283,8.399241468682504,5.015485558977204e-14,0.5039037746803263,False
ODC1,0.6067263307784927,8.91985935159969e-10,6.192897115012881,12.221862831858408,11.615136501079915,1.9034107792525467e-09,0.6067263307784927,False
FLJ23867,-0.7727172554425739,3.533415788945127e-30,-11.837698826956794,10.25116006637168,11.023877321814254,1.8127998177579417e-29,0.7727172554425739,False
UBXN6,0.13642894933006922,5.248595345293947e-06,4.581858183394284,10.736654867256634,10.600225917926565,9.04768499735565e-06,0.13642894933006922,False
PIAS1,0.22898998547372962,1.9294049871219964e-14,7.781935900434138,8.63340575221239,8.40441576673866,5.143471704942885e-14,0.22898998547372962,False
SPAG4,-0.7113613335977371,1.0118499629343779e-17,-8.750499100408812,6.706795685840708,7.418157019438445,3.136672941419624e-17,0.7113613335977371,False
TMEM195,1.0253379078346299,2.680018487047924e-14,7.737508228661066,2.5981955752212387,1.5728576673866088,7.088505413313619e-14,1.0253379078346299,True
AADAT,-0.21636181191345383,0.014697016638970951,-2.44441319875013,6.102375553097346,6.3187373650108,0.01951924936216357,0.21636181191345383,False
SIGIRR,-1.1158406730824346,1.7510006283119963e-83,-21.53183374805858,8.491497123893806,9.60733779697624,5.448005795155067e-82,1.1158406730824346,True
FLI1,-0.6485800278101657,3.414821577365176e-21,-9.687743526538188,7.896867920353982,8.545447948164147,1.2261515874761858e-20,0.6485800278101657,False
ZNF518A,-0.23206304067356065,3.597759709267011e-09,-5.960093277156066,8.92950110619469,9.161564146868251,7.439018263699806e-09,0.23206304067356065,False
ANXA8L2,4.157955089690169,4.8063317087285435e-120,27.23768927833315,9.233432411504424,5.075477321814255,5.070429622932118e-118,4.157955089690169,True
